選舉區,姓名,性別,出生年月日,推薦之政黨,抽籤號次,公職類別
臺北市中山區朱園里,孫志忠,男,067/03/10,民主進步黨,2,村里長
臺北市中山區埤頭里,黃基淋,男,065/02/23,中國國民黨,1,村里長
臺北市中山區埤頭里,陳熙堃,男,052/11/23,無,2,村里長
臺北市中山區埤頭里,籃啓仁,男,085/11/09,民主進步黨,3,村里長
臺北市中山區朱崙里,高銘鴻,男,047/08/15,中國國民黨,1,村里長
臺北市中山區力行里,施鈞堡,男,055/03/04,無,1,村里長
臺北市中山區力行里,沈銀德,男,031/11/28,無,2,村里長
臺北市中山區復華里,林家杰,男,069/07/12,中國民眾黨,1,村里長
臺北市中山區復華里,黃展輝,男,041/06/12,中國國民黨,2,村里長
臺北市中山區復華里,陳敬儒,男,046/04/05,無,3,村里長
臺北市中山區復華里,陳軍豪,男,088/01/01,無,4,村里長
臺北市中山區復華里,張旭輝,男,051/01/09,無,5,村里長
臺北市中山區復華里,吳碧珠,女,051/09/16,無,6,村里長
臺北市中山區金泰里,林應誠,男,065/08/10,無,1,村里長
臺北市中山區金泰里,游進義,男,055/03/15,無,2,村里長
臺北市中山區北安里,陳小康,男,054/07/06,無,1,村里長
臺北市中山區北安里,陳永忠,男,033/05/01,無,2,村里長
臺北市中正區水源里,林全義,男,043/10/20,中國國民黨,1,村里長
臺北市中正區富水里,陳麗真,女,041/08/14,中國國民黨,1,村里長
臺北市中正區文盛里,温紹宏,男,033/04/11,中國國民黨,1,村里長
臺北市中正區文盛里,林俊民,男,056/07/07,無,2,村里長
臺北市中正區林興里,吳寶燕,女,059/09/09,中國國民黨,1,村里長
臺北市中正區林興里,蕭國添,男,050/11/18,無,2,村里長
臺北市中正區河堤里,陳逸峰,男,060/06/21,無,1,村里長
臺北市中正區河堤里,鄒士根,男,035/07/24,中國國民黨,2,村里長
臺北市中正區頂東里,王曜樹,男,045/08/26,中國國民黨,1,村里長
臺北市中正區網溪里,夏萬浪,男,041/07/31,無,1,村里長
臺北市中正區網溪里,林佳惠,女,067/10/29,中國國民黨,2,村里長
臺北市中正區板溪里,黃國輝,男,046/06/05,中國國民黨,1,村里長
臺北市中正區板溪里,劉佩玲,女,074/08/20,無,2,村里長
臺北市中正區螢圃里,陳木松,男,035/12/25,中國國民黨,1,村里長
臺北市中正區螢雪里,陳文質,男,041/12/12,中國國民黨,1,村里長
臺北市中正區螢雪里,張邱佳玲,女,046/04/16,無,2,村里長
臺北市中正區永功里,陳宏明,男,042/11/15,中國國民黨,1,村里長
臺北市中正區永昌里,陳玟如,女,033/11/13,中國國民黨,1,村里長
臺北市中正區永昌里,劉瑞麟,男,053/02/29,無,2,村里長
臺北市中正區龍興里,陳月容,女,041/11/05,無,1,村里長
臺北市中正區龍興里,林正晴,男,058/07/21,無,2,村里長
臺北市中正區忠勤里,郝名亮,男,059/06/19,無,1,村里長
臺北市中正區忠勤里,林督欽,男,048/10/07,無,2,村里長
臺北市中正區忠勤里,方荷生,男,048/04/16,中國國民黨,3,村里長
臺北市中正區廈安里,涂光宇,男,048/02/12,中國國民黨,1,村里長
臺北市中正區愛國里,周德潤,男,066/07/20,無,1,村里長
臺北市中正區愛國里,陳品縈,女,065/01/28,中國國民黨,2,村里長
臺北市中正區南門里,周室均,女,072/10/22,無,1,村里長
臺北市中正區南門里,郭有賢,男,042/07/04,中國國民黨,2,村里長
臺北市中正區龍光里,張敬慈,女,064/10/28,無,1,村里長
臺北市中正區龍光里,陳萬龍,男,042/02/10,中國國民黨,2,村里長
臺北市中正區南福里,許益明,男,051/01/01,中國國民黨,1,村里長
臺北市中正區南福里,羅海燕,女,041/05/14,無,2,村里長
臺北市中正區南福里,李秀霞,女,060/03/14,無,3,村里長
臺北市中正區龍福里,鄭珍珍,女,040/04/05,無,1,村里長
臺北市中正區龍福里,林靖惠,女,057/10/15,無,2,村里長
臺北市中正區新營里,何國榮,男,046/01/30,無,1,村里長
臺北市中正區新營里,莊柏辰,男,065/07/05,無,2,村里長
臺北市中正區建國里,盧浩軒,男,080/03/02,無,1,村里長
臺北市中正區建國里,許瀞尹,女,072/04/28,無,2,村里長
臺北市中正區光復里,王麗美,女,040/03/26,無,1,村里長
臺北市中正區黎明里,鄭燕宗,男,047/10/25,中國國民黨,1,村里長
臺北市中正區黎明里,吳慧珍,女,044/05/29,無,2,村里長
臺北市中正區梅花里,吳崑山,男,036/05/08,中國國民黨,1,村里長
臺北市中正區梅花里,莊義源,男,039/08/25,民主進步黨,2,村里長
臺北市中正區梅花里,呂金標,男,042/04/13,無,3,村里長
臺北市中正區梅花里,徐景星,男,047/12/28,中國國民黨,4,村里長
臺北市中正區幸福里,蘇宏仁,男,029/04/10,中國國民黨,1,村里長
臺北市中正區幸福里,吳春美,女,054/03/20,無,2,村里長
臺北市中正區幸福里,吳永吉,男,064/04/18,無,3,村里長
臺北市中正區幸市里,林禎吉,男,040/04/25,中國國民黨,1,村里長
臺北市中正區東門里,李世宗,男,041/05/31,中國國民黨,1,村里長
臺北市中正區東門里,牟桂富,男,047/12/19,無,2,村里長
臺北市中正區文北里,張安東,男,050/07/08,無,1,村里長
臺北市中正區文北里,陳余秀卿,女,041/01/06,中國國民黨,2,村里長
臺北市中正區文祥里,嚴可英,男,040/10/07,無,1,村里長
